prompt,response,domain
Mưa đá hình thành như thế nào?,"Mưa đá hình thành trong những đám mây dông có luồng khí đối lưu mạnh. Giọt nước bị luồng khí nóng đẩy lên cao, đông thành hạt băng, rồi lại rơi xuống lớp nước lạnh và bị cuốn lên tiếp, tích tụ thêm nhiều lớp băng cho đến khi đủ nặng rơi xuống đất. Hạt băng càng lớn khi đi qua nhiều vòng lên xuống trong mây.",other
Vì sao nước biển lại mặn?,"Nước biển mặn vì trong đó hòa tan nhiều muối khoáng, chủ yếu là muối natri clorua. Muối theo sông suối chảy ra biển, nước bốc hơi nhưng muối vẫn ở lại, tích lũy qua hàng trăm triệu năm nên biển ngày càng mặn. Hồ nước ngọt không mặn vì muối vẫn được đưa đi theo dòng chảy ra biển.",other
Phở có nguồn gốc và đặc trưng như thế nào?,"Phở xuất hiện ở miền Bắc Việt Nam đầu thế kỷ 20 rồi lan vào Nam, trở thành món ăn biểu tượng. Điểm cốt lõi là nước dùng ninh từ xương bò, gà, hầm trong nhiều giờ cho ngọt thanh, thêm gia vị như quế, hồi, gừng. Ăn kèm bánh phở, hành, giá, chanh, ớt và rau thơm. Mỗi vùng có biến tấu riêng nhưng vẫn giữ hương vị đặc trưng.",other
Vì sao cá vàng có thể bơi trong nước lạnh?,"Cá vàng là loài cá nước lạnh, cơ thể thích nghi sống ở nhiệt độ thấp hơn cá nhiệt đới. Khi trời lạnh, chúng giảm trao đổi chất, ăn ít và hoạt động chậm lại để tiết kiệm năng lượng. Nhờ enzyme và hệ tuần hoàn thích nghi, chúng vẫn sống khỏe trong nước 15–25 độ C, nhưng cần tránh thay đổi nhiệt độ đột ngột.",other
Cầu Long Biên có lịch sử gì?,"Cầu Long Biên được xây dựng từ năm 1898 đến 1902, nối hai bờ sông Hồng ở Hà Nội, từng là cây cầu thép lớn nhất Đông Dương. Qua hai cuộc kháng chiến, cầu nhiều lần bị ném bom nhưng vẫn còn đứng vững. Ngày nay cầu là di tích lịch sử, biểu tượng quen thuộc và là chứng nhân cho nhiều giai đoạn đổi thay của Thủ đô.",other
Vì sao ong hút mật hoa?,"Ong hút mật để lấy nguồn năng lượng đường nuôi cả đàn. Khi đậu vào hoa, ong vô tình mang phấn hoa từ bông này sang bông khác, giúp cây thụ phấn và tạo quả, hạt. Đây là mối quan hệ cộng sinh: hoa cho mật, ong giúp hoa sinh sản. Nhờ vậy ong đóng vai trò quan trọng trong hệ sinh thái và nền nông nghiệp.",other
Áo dài Việt Nam có đặc điểm gì?,"Áo dài là trang phục truyền thống ôm sát cơ thể, gồm tà áo xẻ hai bên, cổ đứng và quần dài rộng, vừa kín đáo vừa tôn dáng. Phiên bản hiện đại phổ biến từ đầu thế kỷ 20 do các nhà may Cát Tường, Lệ Thủy phát triển. Áo dài không chỉ dùng trong lễ hội, cưới hỏi mà còn được nữ sinh, nhân viên mặc hằng ngày như biểu tượng văn hóa Việt.",other
Vì sao lá cây thường có màu xanh?,"Lá chứa chất diệp lục (chlorophyll), sắc tố hấp thụ ánh sáng để quang hợp tạo thức ăn cho cây. Diệp lục hấp thụ mạnh ánh sáng đỏ và xanh dương nhưng phản xạ ánh sáng xanh lục, nên mắt ta thấy lá màu xanh. Vào mùa thu, diệp lục phân hủy khi nhiệt độ giảm khiến lá lộ ra sắc tố vàng, cam khác.",other
Đồng bằng sông Cửu Long có đặc trưng gì?,"Đồng bằng sông Cửu Long là vựa lúa lớn nhất Việt Nam, nằm ở cực Nam với mạng lưới sông ngòi, kênh rạch chằng chịt. Nơi đây nổi tiếng với vườn cây ăn trái, ruộng lúa, chợ nổi và miệt vườn. Người dân sống gắn bó với sông nước, văn hóa sông nước đặc sắc, và đây là nơi có hệ sinh thái ngập mặn quan trọng.",other
Vì sao ăn mật ong lại tốt cho sức khỏe?,"Mật ong chứa đường tự nhiên, vitamin, enzyme và chất chống oxy hóa giúp tăng cường miễn dịch, giảm viêm họng và hỗ trợ tiêu hóa. Mật có tính kháng khuẩn nhẹ nên thường được dùng giảm ho, làm dịu cổ họng. Nên dùng mật ong nguyên chất, không pha đường, nhưng trẻ dưới 1 tuổi không nên ăn vì nguy cơ ngộ độc botulinum.",other
