"prompt","response","domain"
"Em 24 tuổi, mới đi tập gym, nên bắt đầu từ đâu?","Bắt đầu từ cơ bản: 2-3 buổi/tuần, mỗi buổi 60 phút. Làm quen máy móc trước, tạ tự do sau. Tập toàn thân, động tác đơn giản, đúng kỹ thuật. Tuần đầu điều chỉnh thói quen ăn ngủ đã, đừng cố nâng nặng.","casual"
"Lịch tập đầu tiên cho người chưa từng tập thể thao nên như thế nào?","Chia ngày: thứ 2, 4, 6 tập cơ bản toàn thân, thứ 3, 5 nghỉ hoặc đi bộ nhẹ. Mỗi buổi: khởi động 10 phút, tập 4 bài cơ bản mỗi bài 3 hiệp x 12 lần, giãn cơ 10 phút. Cuối tuần nghỉ hẳn để hồi phục.","casual"
"Có cần mua đồ tập xịn trước khi bắt đầu không?","Không cần. Chỉ cần giày thể thao chắc chắn, quần áo thoáng mát, khăn và bình nước. Tạ, thảm, dụng cụ cứ dùng của phòng gym. Đợi tập được 3 tháng đều đặn rồi hẵng đầu tư đồ tốt.","casual"
"Tôi mới tập được 2 ngày mà đau ê ẩm toàn thân, có sao không?","Bình thường, gọi là đau cơ khởi phát muộn. Nghỉ 1-2 ngày, xoa bóp nhẹ, tắm nước ấm, uống đủ nước. Đau âm ỉ là được; nếu đau buốt, sưng, bầm thì đi khám. Đừng bỏ tập, cơ thể sẽ quen sau 2 tuần.","casual"
"Em sợ tập vài bữa lại bỏ, làm sao kiên trì được?","Đừng đặt mục tiêu quá lớn. Cam kết nhỏ: tuần ít nhất 2 buổi, vào giờ cố định, rủ thêm bạn đi cùng. Ghi chép lại mỗi buổi tập. Khi thấy tiến bộ sau 1 tháng, tự nhiên sẽ muốn tập tiếp.","casual"
"Tập gym kiểu gì để không bị chấn thương khi mới bắt đầu?","Học kỹ thuật trước, tăng tạ sau. Luôn khởi động 10 phút và giãn cơ. Bắt đầu tạ nhẹ, tập đúng biên độ, không rướn. Nghe cơ thể: đau buốt là dừng ngay. Nếu được, nhờ huấn luyện viên chỉnh tư thế buổi đầu.","casual"
"Người 30 tuổi, ít vận động, bây giờ tập gym có quá muộn không?","Không muộn, 30 tuổi là thời điểm tốt để bắt đầu. Cơ thể vẫn đáp ứng tốt với tập luyện. Chỉ cần vào nhẹ nhàng, tăng dần cường độ, chú ý chấn thương ở khớp gối và lưng. Kiên trì 6 tháng là thấy thay đổi rõ.","casual"
"Buổi tập đầu tiên ở phòng gym nên làm gì trước khi vào máy?","Khai báo với quầy, xin lịch lớp hoặc sự hướng dẫn cơ bản, khởi động 10 phút đi bộ nhanh và xoay khớp. Tập thử các máy cơ bản ở mức tạ nhỏ nhất. Hỏi huấn luyện viên cách chỉnh máy đúng, đừng ngại.","casual"
"Tôi tập được 1 tuần mà không thấy cơ to hơn, có phải tập sai không?","Không sai, cơ không thể to sau 1 tuần. Giai đoạn đầu là học kỹ thuật và quen vận động. Cơ thay đổi rõ sau 8-12 tuần nếu tập đều, ăn đủ đạm và ngủ đủ. Kiên nhẫn, đo theo hiệu suất tập chứ đừng nhìn gương mỗi ngày.","casual"
"Mỗi ngày tập 30 phút tại nhà, không cần phòng gym, có hiệu quả không?","Có, miễn là đều đặn. 30 phút mỗi ngày với hít đất, squat, plank, gập bụng vẫn đủ để khỏe hơn. Điều quan trọng là duy trì và tăng dần độ khó. Tập tại nhà tốt hơn là không tập gì.","casual"
