prompt,response,domain
"Gần đây tôi hay quên, đánh rơi chìa khóa, quên mang ví, có phải não đang có vấn đề?","Hay quên kiểu này thường do mệt và căng thẳng nhiều hơn là bệnh lý. Não đang phải xử lý quá tải nên không ghi được việc nhỏ. Hãy tạo thói quen để đồ cố định, đặt đồ ở một chỗ, luôn kiểm tra ba món chìa khóa, ví, điện thoại trước khi ra cửa. Ngủ đủ 7-8 tiếng và giảm bớt việc nhồi não lại giúp nhớ tốt hơn. Nếu kéo dài và ảnh hưởng công việc thì nên kiểm tra sức khỏe.",casual
"Tôi mới vào làm, mấy anh chị trong phòng hay giao việc và trêu chọc tôi quá đà.","Phân biệt trêu đùa vui vẻ hay ức hiếp để biết phản ứng đúng mức. Nếu thấy quá đà, cứ bình tĩnh mỉm cười nói 'em học được rồi, anh chị cho em thời gian' rồi thực hiện một cách chuyên nghiệp. Khi việc bị đùn đẩy quá khối lượng, ghi nhận lại và nói với quản lý về khối lượng việc và chia công việc. Nhân viên mới mà biết giữ ranh giới lịch sự thì nhanh được nể hơn là nín nhịn.",casual
"Tôi muốn tăng lương nhưng rụt rè, không biết mở lời với sếp thế nào.","Chuẩn bị trước là chìa khóa. Ghi lại toàn bộ kết quả công việc 6 tháng gần nhất, con số, dự án, phản hồi khách hàng. Rủi lịch gặp riêng, mở đầu kiểu 'Em muốn trao đổi về định hướng và phúc lợi công việc sắp tới' rồi đưa dẫn chứng, rồi nêu con số bạn muốn và hỏi ý kiến sếp. Tăng lương là chuyện xin được sòng phẳng, có lý do rõ ràng sẽ được tôn trọng dù kết quả thế nào.",casual
"Trồng cây gì đó trên ban công, tôi thấy tinh thần thư thái hơn hẳn, ham thú này có hay không?","Chăm cây quả thực là liệu pháp tĩnh tâm cực hiệu quả, nhiều nghiên cứu ủng hộ việc sống gần cây xanh làm nhịp tim và mức căng thẳng giảm xuống. Bạn cứ thử thêm vài loại dễ sống như lưỡi hổ, trầu bà, hoa mười giờ. Vài điều cơ bản: đất thoát nước, tưới khi đất khô, đủ nắng mỗi sáng. Nhìn mầm nhú lên mỗi sớm mai đủ thấy cuộc sống chậm mà đẹp.",casual
"Sau Tết tôi tăng gần 3kg, bụng to lên, muốn giảm mà ngại lên phòng gym.","Ngại gym không phải cản đường giảm cân. Bắt đầu bằng đi bộ nhanh 30 phút mỗi tối hoặc chạy quanh khu, tập plank và gập bụng tại nhà cũng được. Trọng tâm là bếp: bớt tinh bột trắng, tăng rau, nước lọc, ăn tối sớm hơn. 3kg tăng sau Tết là nước và đồ ăn tích thừa, cứ đều đặn 4-6 tuần là thân hình sẽ về lại nhịp cũ.",casual
"Bạn trai tôi ít để tâm, sinh nhật cũng quên, tôi thấy tủi thân quá.","Một người đáng trách khiến bạn nghĩ mình không đáng được quan tâm, nhưng thật ra là do cách yêu của anh ấy đang lơ đãng hơn nhu cầu của bạn. Nói chuyện thẳng thắn vào lúc hai người bình tĩnh, chia sẻ rằng mình muốn những khoảnh khắc gia đình và sự chú ý, đừng chờ anh ấy tự hiểu. Cùng đặt ra nhịp nhắc nhau, ai rồi cũng quen việc, thay vì âm thầm buồn rồi nổ tung.",casual
"Tôi phân vân giữa mua chung cư hay nhà tầng tại một tỉnh, muốn nghe tư vấn?","Cái nào cũng có ưu và nhược tùy gu sống của bạn. Chung cư có tiện ích, an ninh, sạch sẽ, nhưng phí dịch vụ và gò bó về không gian. Nhà tầng rộng đất, yên tĩnh, độc lập nhưng chi phí và việc bảo trì tự lo. Nếu bạn trẻ, công việc ở trung tâm, thích tiện thì chung cư. Nếu thích không gian, cây cối và có thể mở thêm cho gia đình thì nhà tầng. Cả hai đều là tổ ấm nếu khớp nhu cầu.",casual
"Công ty tôi vừa cắt giảm, nhiều người phải nghỉ, tôi ở lại mà lòng không yên.","Chứng kiến đồng nghiệp ra đi còn mình ở lại dễ sinh tội lỗi và lo lắng, nhưng đó là tình thế ngoài tầm tay bạn. Thay vì băn khoăn theo chiều hướng tiêu cực, hãy tập trung nâng cao giá trị của mình: kỹ năng, kết quả, mạng lưới quan hệ. Làm hồ sơ và tìm hiểu thị trường để có phương án B sẵn sàng, sự chuẩn bị đó giúp bạn vững tâm mà làm việc tiếp. Còn nhớ giữ lòng, giúp đồng nghiệp trong khả năng.",casual
"Mẹ tôi mất cách đây 2 năm, mỗi dịp lễ tôi vẫn trào nước mắt, tôi có quá yếu đuối không?","Hai năm không hề dài đối với một mất mát lớn, khóc không phải là yếu đuối, mà là bằng chứng tình yêu thương còn nguyên vẹn. Đừng tự phán xét vì mình vẫn nhớ. Hãy cho phép mình tưởng nhớ, có thể viết những dòng kể với mẹ, thắp hương và nói chuyện bình thường như ngày xưa. Nỗi đau sẽ không hết nhưng sẽ biến thành thứ nhẹ hơn, để bạn sống tiếp với nhiều tình yêu hơn là nước mắt.",casual
"Con tôi sắp thi vào lớp 10, cả nhà đang đau đầu chọn trường, lời khuyên gì cho mẹ?","Hãy lắng nghe nguyện vọng của con trước, chọn trường theo năng lực và sở thích của con chứ không chạy theo danh tiếng. Tìm hiểu chương trình, điểm đầu vào, khoảng cách đi lại, môi trường học của từng trường rồi cùng con đánh giá. Đừng đặt áp lực 'phải vào trường này' lên vai con, vì càng căng con càng thi không tốt. Trường tốt nhất là nơi con học được, chứ không phải trường cao điểm nhất.",casual
