prompt,response,domain
Token trong mô hình ngôn ngữ là gì?,"Token là đơn vị nhỏ nhất mà mô hình xử lý văn bản, có thể là từ, phần từ hoặc ký tự tùy ngôn ngữ. Tiếng Việt thường tách thành nhiều token hơn tiếng Anh vì có dấu, nên chi phí cũng cao hơn. Giới hạn ngữ cảnh của mô hình được tính bằng token, vì vậy văn bản dài cần được cắt gọn hoặc tóm tắt để vừa khung.",tech
Sự khác nhau giữa model nhỏ và model lớn là gì?,"Model lớn có nhiều tham số hơn, hiểu ngữ cảnh sâu hơn và làm tốt các tác vụ phức tạp nhưng cần GPU mạnh và chi phí chạy cao. Model nhỏ chạy nhanh trên máy thường, ít tốn tài nguyên, phù hợp điện thoại hoặc máy yếu. Nếu bài toán đơn giản như phân loại văn bản hay chạy offline, model nhỏ đủ dùng và kinh tế hơn nhiều.",tech
Finetune mô hình ngôn ngữ nghĩa là gì?,"Finetune là tiếp tục huấn luyện một mô hình có sẵn trên bộ dữ liệu riêng để nó hiểu đúng ngữ cảnh hoặc phong cách của bạn. Bạn không cần train từ đầu, chỉ cần tinh chỉnh lớp cuối hoặc huấn luyện thêm vài epoch. Cách này tiết kiệm chi phí, phù hợp khi muốn mô hình trả lời theo giọng văn, ngành nghề hoặc bộ dữ liệu nội bộ của công ty.",tech
RAG là gì và nó giúp chatbot trả lời đúng hơn thế nào?,"RAG viết tắt của Retrieval-Augmented Generation, kết hợp tìm kiếm tài liệu với sinh văn bản. Khi nhận câu hỏi, hệ thống truy vấn kho tài liệu để lấy đoạn liên quan rồi đưa vào ngữ cảnh cho mô hình sinh câu trả lời. Nhờ vậy chatbot dùng được dữ liệu nội bộ cập nhật, giảm bịa đặt và trả lời đúng nguồn, rất hữu ích cho hỗ trợ khách hàng và tra cứu văn bản.",tech
Học sâu (deep learning) khác học máy truyền thống thế nào?,"Học máy truyền thống cần con người trích xuất đặc trưng thủ công, dùng thuật toán như decision tree, SVM. Deep learning dùng mạng nơ-ron nhiều lớp tự học đặc trưng từ dữ liệu thô như ảnh hay chữ. Nhược điểm của deep learning là cần nhiều dữ liệu và GPU mạnh, nhưng với bài toán phức tạp như nhận diện giọng nói nó vượt trội hơn hẳn.",tech
Máy học có cần GPU không?,"Không bắt buộc. Bài toán nhỏ, dữ liệu vài nghìn mẫu với mô hình cây hoặc hồi quy chạy tốt trên CPU. Nhưng huấn luyện mạng nơ-ron lớn trên CPU sẽ rất chậm, có thể tính bằng ngày thay vì giờ. Nếu học về AI lâu dài, nên đầu tư GPU có bộ nhớ ít nhất 8GB hoặc thuê máy trên cloud để tiết kiệm chi phí ban đầu.",tech
Prompt engineering là gì? Giải thích đơn giản.,"Prompt engineering là kỹ thuật soạn câu lệnh sao cho mô hình AI hiểu đúng yêu cầu và trả lời chất lượng. Bạn càng mô tả rõ vai trò, mục tiêu, định dạng đầu ra và ví dụ thì kết quả càng sát. Thay vì hỏi chung chung 'viết giúp email', hãy nêu người nhận, giọng điệu và nội dung chính cần có để nhận bản phác thảo dùng được ngay.",tech
Overfitting trong học máy là gì và cách khắc phục?,"Overfitting là mô hình học thuộc quá khớp dữ liệu huấn luyện nên sai trên dữ liệu mới, điểm chính xác lúc test thấp hơn hẳn. Nguyên nhân thường do dữ liệu ít, mô hình quá phức tạp hoặc chạy quá nhiều epoch. Cách xử lý: thêm dữ liệu, dùng regularlization như L2 hoặc dropout, giảm số tầng, hoặc dùng early stopping để dừng khi lỗi validation bắt đầu tăng.",tech
Muốn học lập trình AI từ con số 0 thì bắt đầu từ đâu?,"Học Python trước, nắm vững list, dict, hàm và thư viện như NumPy, Pandas. Tiếp theo học xác suất thống kê và đại số tuyến tính cơ bản. Sau đó làm quen scikit-learn với bài toán phân loại đơn giản rồi mới chuyển lên PyTorch hoặc TensorFlow. Thực hành từng bài nhỏ trên Kaggle hoặc dữ liệu tiếng Việt là cách tiến bộ nhanh nhất.",tech
"Độ chính xác 99% mà vẫn dở, vì sao?","Nhiều khả năng dữ liệu của bạn bị mất cân bằng, ví dụ 99% là 'không' nên mô hình chỉ cần đoán 'không' là đạt 99%. Lúc này nên nhìn precision, recall, F1-score và ma trận nhầm lẫn thay vì accuracy. Nếu chi phí bỏ sót dạng hiếm cao, cần tăng trọng số lớp đó, lấy mẫu lại dữ liệu hoặc chọn ngưỡng quyết định phù hợp.",tech
