"prompt","response"
"Đi xét nghiệm bệnh lây truyền qua đường tình dục ở đâu tại Việt Nam, và cần làm những xét nghiệm nào?","Bạn có thể đến các bệnh viện có khoa da liễu như Bệnh viện Da liễu TP.HCM, Hà Nội, hoặc các trung tâm y tế quận huyện để làm xét nghiệm với chi phí thấp. Gói cơ bản thường gồm HIV, giang mai, viêm gan B. Nếu có triệu chứng ngứa ngáy, tiết dịch bất thường thì xét nghiệm thêm lậu, chlamydia. Kết quả được bảo mật hoàn toàn, đừng ngại vì đi xét nghiệm chính là cách chăm sóc mình có trách nhiệm."
"Người yêu em hay kiểm tra điện thoại, đòi em chia sẻ vị trí mọi lúc, em có nên chấp nhận không?","Sự kiểm soát kiểu đó không phải yêu thương mà đang bóp nghẹt không gian riêng của em. Một mối quan hệ lành mạnh dựa trên sự tin tưởng, không dựa trên giám sát. Đừng im lặng chịu đựng, hãy nói thẳng cảm giác của mình với người đó và đặt ra ranh giới rõ ràng. Nếu họ không tôn trọng giới hạn của em, đó là tín hiệu để em cân nhắc lại mối quan hệ này."
"Lần đầu quan hệ, em nên chuẩn bị những gì cho an toàn và thoải mái?","Chuẩn bị tinh thần trước hết: lần đầu thường hồi hộp, có thể hơi đau nhẹ, nên đừng tạo áp lực phải hoàn hảo. Nhớ mang sẵn bao cao su và dùng từ đầu đến cuối để tránh thai và phòng bệnh. Hãy trò chuyện với bạn tình về sự đồng thuận và cảm giác của cả hai, không vội vàng, lắng nghe cơ thể mình. Quan trọng nhất: chỉ quan hệ khi thật sự muốn, không ai có quyền ép buộc em."
"Mình ghét cơ thể mình, soi gương là thấy xấu, làm sao để yêu lại chính mình?","Việc ghét cơ thể thường đến từ việc so sánh với chuẩn ảo trên mạng chứ không phải vì cơ thể bạn xấu. Hãy tập nhìn bản thân bằng con mắt của một người hiền lành: cơ thể giúp bạn đi lại, ôm người thân, trải nghiệm cuộc sống. Bắt đầu khen mình một điều nhỏ mỗi ngày, chăm ăn uống và vận động vì yêu bản thân chứ không phải để trừng phạt bản thân. Sự tự tin sẽ lớn dần theo từng ngày."
"Em sợ đồng nghiệp phát hiện em là người LGBTQ+ sẽ đối xử khác đi, em có nên công khai ở công ty?","Việc công khai là quyết định hoàn toàn của em, không ai có quyền thúc em phải vội. Cân nhắc môi trường làm việc: đã có ai công khai chưa, văn hóa công ty có cởi mở không. Nếu chưa cảm thấy an toàn, em hoàn toàn có quyền giữ kín và điều đó không phải sống dối trá mà là cách bảo vệ mình. Khi cảm thấy sẵn sàng, hãy công khai theo nhịp độ thoải mái của chính em."
"Em có ý nghĩ đến việc tự làm hại bản thân thường xuyên, em nên làm gì bây giờ?","Ý nghĩ đó cho thấy em đang chịu đựng rất nhiều, và em không cần phải gánh một mình. Ngay lúc này hãy gọi cho một người tin cậy hoặc tổng đài tâm lý 1900209099 để nói chuyện. Khi cảm xúc đang ở đỉnh điểm, hãy kéo bản thân ra khỏi nơi vắng vẻ, làm việc gì đó bình thường như tắm nước ấm, hít thở sâu. Sau đó sắp xếp gặp bác sĩ tâm lý, vì những suy nghĩ này hoàn toàn có thể được điều trị hiệu quả."
"Bạn trai mình lo lắng kích thước của mình không ổn, mình trấn an bạn ấy thế nào?","Chuyện kích thước thường bị phim ảnh thổi phồng quá mức. Trên thực tế, sự thoải mái và cách giao tiếp khi gần gũi quan trọng hơn nhiều so với số đo. Đa số người thấy hạnh phúc trong chuyện ấy nhờ kết nối cảm xúc và sự quan tâm, chứ không phải nhờ hình thể. Hãy nói với bạn ấy rằng bạn thấy an toàn và vui khi ở bên, thay vì để bạn ấy tự so sánh mình với chuẩn ảo."
"Vợ chồng lâu ngày chuyện ấy nhạt dần, phải làm sao để cải thiện?","Chuyện ấy nhạt theo thời gian thường do sự quen thuộc và áp lực cuộc sống, chứ không phải do tình cảm giảm. Hãy chủ động trò chuyện cởi mở về nhu cầu của cả hai, điều này không hề xấu hổ giữa vợ chồng. Tạo cho nhau không gian riêng, thử những điều mới ở mức cả hai thoải mái, đồng thời chăm sóc sức khỏe tổng thể. Khi kết nối cảm xúc tốt, đời sống gần gũi tự nhiên sẽ theo đó mà tốt hơn."
"Quyền hợp pháp của người đồng tính tại Việt Nam hiện đang ở mức nào?","Người đồng tính không bị xem là bệnh hay vi phạm pháp luật, và đã có quy định chống phân biệt đối xử trong việc làm vì định hướng giới tính. Tuy nhiên vẫn chưa có luật riêng bảo vệ cộng đồng LGBTQ+ một cách toàn diện: hôn nhân đồng giới chưa được công nhận, người chuyển giới chưa được cấp giấy tờ theo giới tính đã chuyển đổi. Nghị định về quyền của người chuyển giới đã được ban hành nhưng việc thực thi còn chậm."
"Chia tay xong mà em vẫn dõi theo mạng xã hội của người cũ mỗi ngày, có nên tiếp tục không?","Theo dõi người cũ mỗi ngày chỉ khiến vết thương lâu lành và em mãi sống trong ký ức. Hãy thử cai nghiện bằng cách ẩn tin, bỏ theo dõi, thậm chí chặn một thời gian, đó không phải là hận thù mà là cách tự chữa lành. Dùng thời gian đó cho những điều thật sự có ích cho mình. Sau vài tuần không nhìn vào trang của họ, em sẽ bất ngờ vì thấy mình nhẹ nhõm hơn rất nhiều."
