prompt,response,domain
Nhập vai anh chàng nhân viên ngân hàng tán tỉnh cô khách xinh đẹp đến làm thủ tục.,"Anh thấy hồ sơ của em đây rồi. Mà này, khách của anh nhiều lắm, nhưng hiếm ai làm anh phân tâm như em hôm nay. Thủ tục xong chưa vội, hay mình đi cà phê kế bên chi nhánh, anh giới thiệu thêm ưu đãi thẻ cho em, tiện thể làm quen luôn. Em yên tâm, anh chỉ chuyên nghiệp vậy thôi, còn thật lòng hay không thì uống cà phê mới biết.",rp
"Nhập vai cô nàng lễ tân đêm tiệc công ty, cố tình kề sát người tôi giữa sảnh tiệc.","Anh đứng một mình từ nãy giờ, em để ý lắm rồi đó. Tiệc vui vậy mà anh chẳng nhảy với ai, tiếc ghê. Hay mình ra ban công thở tí không khí, anh có thể gọi em bằng tên thân mật. Mà nói nhỏ nè, tối nay em được nghỉ, hết tiệc em rảnh hoàn toàn luôn, anh tính sao?",rp
"Nhập vai bạn học cũ bất ngờ nhắn tin cho tôi lúc nửa đêm, chủ đề bắt đầu lấn sân sang chuyện tình cảm.","Nửa đêm rồi mà em cứ nghĩ về anh không ngủ được. Hồi học chung, em đã thấy anh khác hẳn mấy đứa con trai khác, chỉ là em không dám nói. Giờ tự nhiên nhắn tin mới nhớ cái thời ngồi học kèm nhau. Anh còn thức không? Nếu không thì mình nói chuyện tới sáng, em kể anh nghe bao nhiêu chuyện mà em giấu bấy lâu nay.",rp
"Nhập vai cô gái cùng cơ quan đi du lịch riêng với tôi, buổi tối ở khách sạn kéo tôi về phòng.","Đi chơi nguyên ngày mệt rồi, sang phòng em ngồi chút đi, em mua ít bia với đồ nhậu rồi. Phòng em view đẹp lắm, ngồi đây ngắm phố đêm vừa nhâm nhi vừa tâm sự thì còn gì bằng. Chuyến đi này anh chịu khó theo em vậy, coi như phần thưởng cho anh tối nay nha.",rp
"Nhập vai cô bạn thân chơi thân lâu năm, lần đầu tiên nói ra cảm xúc giấu kín với tôi.","Nghe em nói một lần cho hết nha. Bao năm mình thân nhau, anh chở em đi khắp nơi, che ô cho em, nhường món ăn cho em, em tưởng đó là chuyện bạn bè bình thường. Nhưng tự dưng em thấy tim mình đập lạ khi anh chạm tay em. Anh đừng cười em nha, em nói thật lòng đó, mình thử tiến xa hơn xem sao được không?",rp
"Nhập vai anh chàng bác sĩ riêng chăm sóc tôi khi tôi đang bệnh, lời lẽ trở nên thân mật hơn mức cần thiết.","Bệnh nhân của anh hôm nay ngoan ghê, uống thuốc đủ giờ là anh hết lo. Nhưng anh có chút xao xuyến khi nhìn em, khỏi cần đo mạch anh cũng biết tim mình đập nhanh. Em mau khỏe đi, rồi anh đưa em đi ăn món em thích, hôm đó không cần hẹn lịch khám đâu, coi như hẹn hò đầu tiên của tụi mình nha.",rp
"Nhập vai cô hàng xóm trẻ mới chuyển đến, qua mượn dụng cụ rồi nán lại trò chuyện thân mật.","Em mới chuyển đến, chưa quen ai ngoài anh. Mượn anh cái tua vít nha, hôm nay em lắp kệ tủ mà không xong. Mà anh ở một mình à, nhà vắng vẻ ghê, hay mình ăn tối chung cho vui, em nấu được vài món ngon lắm. Làm quen trước đã, còn sau này thì tùy duyên mình anh nhé.",rp
"Nhập vai anh bảo vệ khu chung cư thường xuyên nhìn tôi khi tôi về khuya, hôm nay cất lời tỏ tình.","Hôm nay anh phải nói thật, em về khuya anh cứ đứng đợi ngoài cổng không phải vì nhiệm vụ đâu. Mỗi lần thấy em bước xuống xe là lòng anh chộn rộn cả buổi. Anh biết mình chỉ là bảo vệ, nhưng lòng anh thật lòng với em. Anh xin số em được không? Anh hứa không làm phiền, chỉ muốn có cơ hội được quan tâm em.",rp
"Nhập vai cô gái đang ngồi cạnh tôi trên chuyến xe đêm dài, nhờ tôi giữ tay rồi dần dựa vào vai.","Đường xa quá, em ngủ gật hoài mà không yên giấc. Anh chịu khó cho em dựa vào vai tí nha, đi chuyến này dài ghê. Tay em lạnh, anh nắm giùm em được không? Em không quen người lạ đâu, nhưng anh nhìn hiền lành, ngồi cạnh anh tự nhiên em thấy an tâm lạ. Tới nơi chắc em không nỡ rời khỏi anh mất.",rp
"Nhập vai anh chàng đối tác làm ăn ghé lại sau cuộc họp, mời tôi đi ăn tối rồi ngỏ ý muốn hiểu tôi hơn.","Hợp đồng xong xuôi rồi, giờ đến chuyện của anh thôi. Trong bao nhiêu cuộc họp, anh để ý em từ lâu, cách em thuyết trình tự tin, cách em cười khi bắt bí anh. Em đồng ý đi ăn tối với anh một bữa coi như mừng hợp tác được không? Chuyện làm ăn anh để sang hôm sau, tối nay anh chỉ muốn hiểu em thôi.",rp
